UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75   
157377,1,5,1,5,5,5,5,1,3,5,5,3,R,1120,R,582,R,538,A,,R,0.0,R,1066.0,R,551.0,R,515.0,A,,R,0.0,R,265.0,R,132.0,R,133.0,A,,R,0.0,R,261.0,R,132.0,R,129.0,A,,R,0.0,R,4.0,R,0.0,R,4.0,A,,R,0.0,R,7.0,R,3.0,R,63.0,R,24.0,R,530.0,R,570.0,R,590.0,R,500.0,R,530.0,R,530.0,R,20.0,R,23.0,R,25.0,R,19.0,R,22.0,R,25.0,R,18.0,R,21.0,R,24.0
157386,1,3,1,5,3,3,5,1,3,3,3,3,R,8818,R,3224,R,5594,A,,R,0.0,R,7241.0,R,2588.0,R,4653.0,A,,R,0.0,R,1227.0,R,497.0,R,730.0,A,,R,0.0,R,1218.0,R,494.0,R,724.0,A,,R,0.0,R,9.0,R,3.0,R,6.0,A,,R,0.0,R,0.0,Z,0.0,R,1.0,R,0.0,A,,A,,A,,A,,A,,A,,S,,S,,S,,S,,S,,S,,S,,S,,S,
157401,1,5,1,1,3,3,5,1,3,3,3,5,R,11038,R,4271,R,6767,S,,S,,R,9511.0,R,3661.0,R,5850.0,S,,S,,R,1659.0,R,606.0,R,1053.0,S,,S,,R,1646.0,R,601.0,R,1045.0,S,,S,,R,13.0,R,5.0,R,8.0,S,,S,,R,332.0,R,20.0,R,1337.0,R,81.0,R,480.0,R,540.0,R,600.0,R,470.0,R,530.0,R,590.0,R,19.0,R,22.0,R,26.0,R,19.0,R,22.0,R,27.0,R,17.0,R,22.0,R,25.0
157447,1,3,1,1,3,3,5,5,1,3,3,3,R,6417,R,2327,R,4090,A,,R,0.0,R,6162.0,R,2227.0,R,3935.0,A,,R,0.0,R,1295.0,R,533.0,R,762.0,A,,R,0.0,R,1245.0,R,511.0,R,734.0,A,,R,0.0,R,50.0,R,22.0,R,28.0,A,,R,0.0,R,64.0,R,5.0,R,1023.0,R,79.0,R,458.0,R,515.0,R,573.0,R,458.0,R,510.0,R,560.0,R,19.0,R,22.0,R,25.0,R,18.0,R,22.0,R,25.0,R,17.0,R,20.0,R,24.0
157748,1,3,1,3,1,3,5,1,3,3,1,3,R,289,R,172,R,117,A,,R,0.0,R,280.0,R,166.0,R,114.0,A,,R,0.0,R,175.0,R,103.0,R,72.0,A,,R,0.0,R,158.0,R,91.0,R,67.0,A,,R,0.0,R,17.0,R,12.0,R,5.0,A,,R,0.0,R,52.0,R,30.0,R,68.0,R,39.0,R,528.0,R,570.0,R,613.0,R,500.0,R,545.0,R,590.0,R,20.0,R,22.0,R,25.0,R,19.0,R,22.0,R,26.0,R,17.0,R,19.0,R,23.0
157757,1,3,3,3,3,3,5,1,3,3,5,3,R,807,R,293,R,514,A,,R,0.0,R,796.0,R,290.0,R,506.0,A,,R,0.0,R,117.0,R,47.0,R,70.0,A,,R,0.0,R,114.0,R,45.0,R,69.0,A,,R,0.0,R,3.0,R,2.0,R,1.0,A,,R,0.0,R,18.0,R,15.0,R,86.0,R,74.0,R,428.0,R,505.0,R,570.0,R,425.0,R,480.0,R,533.0,R,16.0,R,19.0,R,22.0,R,14.0,R,19.0,R,22.0,R,15.0,R,18.0,R,22.0
157809,1,5,1,1,5,3,5,1,5,3,5,3,R,3030,R,1466,R,1563,A,,R,1.0,R,2940.0,R,1417.0,R,1522.0,A,,R,1.0,R,396.0,R,213.0,R,183.0,A,,R,0.0,R,396.0,R,213.0,R,183.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,16.0,R,4.0,R,139.0,R,35.0,R,510.0,R,540.0,R,590.0,R,490.0,R,510.0,R,560.0,R,20.0,R,23.0,R,27.0,R,19.0,R,23.0,R,27.0,R,18.0,R,22.0,R,26.0
157818,1,5,1,5,1,3,5,1,3,5,1,3,R,1986,R,792,R,1182,S,,S,,R,1688.0,R,634.0,R,1045.0,S,,S,,R,281.0,R,121.0,R,159.0,S,,S,,R,281.0,R,121.0,R,159.0,S,,S,,R,0.0,R,0.0,R,0.0,S,,S,,R,12.0,R,4.0,R,169.0,R,60.0,R,570.0,R,630.0,R,670.0,R,530.0,R,580.0,R,620.0,R,24.0,R,27.0,R,30.0,R,24.0,R,28.0,R,33.0,R,23.0,R,26.0,R,28.0
157863,1,3,1,5,5,3,5,1,3,3,5,3,R,834,R,463,R,337,A,,R,34.0,R,459.0,R,268.0,R,177.0,A,,R,14.0,R,198.0,R,142.0,R,56.0,A,,R,0.0,R,198.0,R,142.0,R,56.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,31.0,R,16.0,R,117.0,R,59.0,R,460.0,R,500.0,R,560.0,R,460.0,R,520.0,R,545.0,R,14.0,R,17.0,R,21.0,R,13.0,R,16.0,R,21.0,R,15.0,R,17.0,R,21.0
157951,1,3,1,1,3,3,5,1,3,3,3,3,R,7720,R,2814,R,4818,R,70.0,R,18.0,R,7492.0,R,2702.0,R,4704.0,R,68.0,R,18.0,R,2822.0,R,1075.0,R,1699.0,R,35.0,R,13.0,R,2796.0,R,1064.0,R,1684.0,R,35.0,R,13.0,R,26.0,R,11.0,R,15.0,R,0.0,R,0.0,R,6.0,R,1.0,R,73.0,R,3.0,R,450.0,R,500.0,R,520.0,R,370.0,R,445.0,R,490.0,R,16.0,R,18.0,R,20.0,R,14.0,R,17.0,R,21.0,R,15.0,R,16.0,R,18.0
158477,1,5,1,5,5,5,5,1,3,5,1,5,R,1834,R,908,R,926,A,,R,0.0,R,998.0,R,455.0,R,543.0,A,,R,0.0,R,255.0,R,146.0,R,109.0,A,,R,0.0,R,255.0,R,146.0,R,109.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,43.0,R,17.0,R,140.0,R,55.0,R,520.0,R,560.0,R,620.0,R,520.0,R,550.0,R,590.0,R,21.0,R,24.0,R,28.0,R,21.0,R,24.0,R,30.0,R,19.0,R,23.0,R,25.0
158802,1,3,1,3,5,3,5,1,3,3,5,3,R,8065,R,1870,R,6167,R,28.0,R,0.0,R,3267.0,R,659.0,R,2596.0,R,12.0,R,0.0,R,248.0,R,58.0,R,190.0,R,0.0,R,0.0,R,246.0,R,58.0,R,188.0,A,,R,0.0,R,2.0,R,0.0,R,2.0,A,,R,0.0,R,22.0,R,9.0,R,94.0,R,38.0,R,503.0,R,555.0,R,590.0,R,473.0,R,530.0,R,563.0,R,19.0,R,21.0,R,23.0,R,19.0,R,21.0,R,24.0,R,16.0,R,18.0,R,22.0
159009,1,1,1,1,3,3,5,1,3,3,3,5,R,24521,R,8607,R,15914,R,0.0,R,0.0,R,5806.0,R,1694.0,R,4112.0,A,,R,0.0,R,916.0,R,318.0,R,598.0,A,,R,0.0,R,883.0,R,305.0,R,578.0,A,,R,0.0,R,33.0,R,13.0,R,20.0,A,,R,0.0,R,131.0,R,14.0,R,424.0,R,46.0,R,450.0,R,500.0,R,590.0,R,410.0,R,470.0,R,560.0,R,15.0,R,17.0,R,19.0,R,14.0,R,16.0,R,19.0,R,15.0,R,16.0,R,17.0
159382,1,5,1,1,3,3,1,5,3,3,3,3,R,706,R,233,R,473,A,,R,0.0,R,654.0,R,209.0,R,445.0,A,,R,0.0,R,482.0,R,154.0,R,328.0,A,,R,0.0,R,447.0,R,141.0,R,306.0,A,,R,0.0,R,35.0,R,13.0,R,22.0,A,,R,0.0,R,25.0,R,5.0,R,457.0,R,95.0,R,450.0,R,500.0,R,580.0,R,430.0,R,510.0,R,560.0,R,17.0,R,20.0,R,22.0,R,16.0,R,20.0,R,23.0,R,16.0,R,17.0,R,21.0
159391,1,5,1,5,1,3,5,1,3,5,5,5,R,42558,R,16319,R,26239,A,,R,0.0,R,31491.0,R,11762.0,R,19729.0,A,,R,0.0,R,7521.0,R,3051.0,R,4470.0,A,,R,0.0,R,7494.0,R,3038.0,R,4456.0,A,,R,0.0,R,27.0,R,13.0,R,14.0,A,,R,0.0,R,599.0,R,14.0,R,3653.0,R,86.0,R,590.0,R,630.0,R,670.0,R,560.0,R,605.0,R,660.0,R,24.0,R,26.0,R,29.0,R,23.0,R,26.0,R,31.0,R,22.0,R,25.0,R,27.0
159416,1,3,1,1,3,3,5,1,3,3,3,3,R,949,R,291,R,658,A,,R,0.0,R,785.0,R,251.0,R,534.0,A,,R,0.0,R,285.0,R,119.0,R,166.0,A,,R,0.0,R,267.0,R,108.0,R,159.0,A,,R,0.0,R,18.0,R,11.0,R,7.0,A,,R,0.0,R,5.0,R,2.0,R,261.0,R,92.0,R,530.0,R,580.0,R,590.0,R,470.0,R,480.0,R,560.0,R,19.0,R,22.0,R,24.0,R,19.0,R,22.0,R,25.0,R,17.0,R,19.0,R,23.0
159568,1,3,1,3,3,3,3,1,3,3,3,3,R,549,R,328,R,221,A,,R,0.0,R,460.0,R,269.0,R,191.0,A,,R,0.0,R,220.0,R,140.0,R,80.0,A,,R,0.0,R,214.0,R,134.0,R,80.0,A,,R,0.0,R,6.0,R,6.0,R,0.0,A,,R,0.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159647,1,3,1,1,3,3,5,1,5,3,3,5,R,9263,R,4483,R,4753,R,27.0,R,0.0,R,6722.0,R,3264.0,R,3439.0,R,19.0,R,0.0,R,2263.0,R,1263.0,R,1000.0,R,0.0,R,0.0,R,2254.0,R,1259.0,R,995.0,A,,R,0.0,R,9.0,R,4.0,R,5.0,A,,R,0.0,R,96.0,R,4.0,R,1939.0,R,86.0,R,500.0,R,580.0,R,630.0,R,545.0,R,610.0,R,660.0,R,21.0,R,24.0,R,27.0,R,21.0,R,24.0,R,29.0,R,20.0,R,24.0,R,26.0
159656,1,5,1,5,1,1,3,1,3,5,1,5,R,6142,R,1916,R,4207,R,19.0,R,0.0,R,5388.0,R,1647.0,R,3722.0,R,19.0,R,0.0,R,695.0,R,247.0,R,448.0,R,0.0,R,0.0,R,692.0,R,246.0,R,446.0,A,,R,0.0,R,3.0,R,1.0,R,2.0,A,,R,0.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159717,1,3,1,1,3,3,1,1,3,3,3,3,R,3294,R,1333,R,1961,A,,R,0.0,R,2225.0,R,907.0,R,1318.0,A,,R,0.0,R,1063.0,R,434.0,R,629.0,A,,R,0.0,R,1052.0,R,429.0,R,623.0,A,,R,0.0,R,11.0,R,5.0,R,6.0,A,,R,0.0,R,94.0,R,9.0,R,935.0,R,88.0,R,430.0,R,500.0,R,560.0,R,380.0,R,480.0,R,560.0,R,18.0,R,21.0,R,24.0,R,18.0,R,21.0,R,24.0,R,16.0,R,19.0,R,23.0
159939,1,3,1,3,3,3,5,1,3,3,3,3,R,7253,R,2887,R,4366,A,,R,0.0,R,4843.0,R,1775.0,R,3068.0,A,,R,0.0,R,845.0,R,428.0,R,417.0,A,,R,0.0,R,830.0,R,417.0,R,413.0,A,,R,0.0,R,15.0,R,11.0,R,4.0,A,,R,0.0,R,41.0,R,5.0,R,667.0,R,79.0,R,470.0,R,590.0,R,650.0,R,490.0,R,560.0,R,670.0,R,17.0,R,20.0,R,23.0,R,16.0,R,20.0,R,24.0,R,16.0,R,18.0,R,22.0
